t0	t1	VALUE	ID_participant	ID_partner	ID_dyad	IP_ID	clarity	speech_clean	word_count
243165	246015	ik denk dat dat voor in de master is maar ik ben daar niet helemaal zeker van	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_243165_246015	ok	 denk      master     daar  helemaal zeker 	6
245250	246230	ah dat kan wel	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_245250_246230	ok	   	1
246170	247180	ja ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_246170_247180	ok	 	1
247180	248750	euhm bent gij op euhm Erasmus geweest	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_247180_248750	ok	gij  Erasmus 	2
248715	252135	j@a gij ook da's misschien ja ja ik ben op Erasmus geweest	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_248715_252135	unclear	ja gij   misschien      Erasmus 	4
251535	252745	en naar waar dan	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_251535_252745	ok	  waar dan	3
252660	253805	naar Thüringen	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_252660_253805	ok	 Thüringen	2
253805	256295	euhm een kleine stad in Duitsland	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_253805_256295	ok	kleine stad  Duitsland	3
256310	257300	ah ok wow	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_256310_257300	ok	  	1
256945	257685	ja	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_256945_257685	ok		0
257785	259335	in 't zuiden van Duitsland	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_257785_259335	ok	 't zuiden  Duitsland	4
259520	260830	zo bij 't Zwarte Woud	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_259520_260830	ok	zo  't Zwarte Woud	4
260485	261335	ah ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_260485_261335	ok	 	1
261270	262670	maar kei leuk dus	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_261270_262670	ok	 kei leuk 	3
262550	263450	ah zalig	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_262550_263450	ok	 zalig	2
263410	263820	ja	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_263410_263820	ok		0
263695	265695	en was dat dan voor zes maanden een jaar	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_263695_265695	ok	   dan  zes maanden  jaar	5
265665	266625	voor zes maanden	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_265665_266625	ok	 zes maanden	3
266205	266985	ah ok	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_266205_266985	ok	 	1
266625	267155	ja	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_266625_267155	ok		0
267290	270570	wij kunnen zo voor zes maanden gaan in de bachelor en dan voor zes maanden in de master	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_267290_270570	ok	  zo  zes maanden gaan   bachelor  dan  zes maanden   master	10
270140	271350	ah ok zo	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_270140_271350	ok	  zo	2
271325	272085	dus	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_271325_272085	ok		0
271405	271785	ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_271405_271785	ok		0
272095	274025	en ik wil sowieso opnieuw op Erasmus gaan	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_272095_274025	ok	   sowieso opnieuw  Erasmus gaan	5
273660	274400	ah zalig	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_273660_274400	ok	 zalig	2
